Tooth,Perikymata,Length
CSMME 5E-15 RMand2,103,0.041
CSMME 5E-15 RMand2,104,0.028
CSMME 5E-15 RMand2,105,0.041
CSMME 5E-15 RMand2,106,0.044
CSMME 5E-15 RMand2,107,0.03
CSMME 5E-15 RMand2,108,0.041
CSMME 5E-15 RMand2,109,0.035
CSMME 5E-15 RMand2,110,0.043
CSMME 5E-15 RMand2,111,0.052
CSMME 5E-15 RMand2,112,0.041
CSMME 5E-15 RMand2,113,0.028
CSMME 5E-15 RMand2,114,0.047
CSMME 5E-15 RMand2,115,0.027
CSMME 5E-15 RMand2,116,0.03
CSMME 5E-15 RMand2,117,0.03
CSMME 5E-15 RMand2,118,0.027
CSMME 5E-15 RMand2,119,0.029
